qplume,red,green,blue,yellow,source_type_nan,source_type_pipeline,source_type_processing,source_type_tank,source_type_well
296.6767318,0,9,226,1,0,0,0,0,0
640.968143,12,13,51,1,0,0,0,1,0
1091.242729,174,72,39,17,0,0,0,1,0
420.725207,23,30,74,11,0,0,0,1,0
1051.9096,119,44,129,1,0,0,0,1,0
285.7811578,35,16,98,0,0,0,0,0,0
2579.5281,238,520,2712,71,0,0,0,1,0
870.605019,91,54,109,12,0,0,0,1,0
4437.72311,1080,3266,4468,912,0,0,1,0,0
1054.020943,65,1353,1864,407,0,0,1,0,0
242.3690202,12,156,167,12,0,1,0,0,0
1736.64425,288,308,798,136,0,1,0,0,0
140.0104626,0,10,76,3,0,0,0,0,0
731.195758,168,257,404,71,0,0,0,1,0
85.45160631,0,6,84,0,0,0,0,1,0
187.219294,0,62,42,4,0,0,0,1,0
153.294905,0,8,4,6,0,0,0,1,0
612.2835925,47,69,254,12,0,0,0,1,0
96.51639797,0,21,104,0,0,0,0,1,0
540.0119141,12,52,82,10,0,0,0,0,0
155.6382927,159,0,53,0,0,0,0,1,0
630.7864836,0,32,39,0,0,0,1,0,0
668.1475667,0,49,45,0,0,0,0,0,0
5665.2427,582,887,4043,252,0,0,0,0,1
1986.21993,352,628,2705,95,0,0,0,0,0
1462.8549,204,417,1477,43,0,0,0,0,0
432.4084353,176,10,30,0,0,0,0,1,0
531.1021735,8,5,14,0,0,0,0,1,0
252.3347201,48,109,406,15,0,0,0,0,1
173.062009,0,21,18,0,0,0,1,0,0
534.1301957,35,21,17,8,0,0,0,1,0
349.6401022,3,100,51,1,0,0,0,1,0
174.2647683,0,23,143,0,0,0,0,0,1
744.746832,106,175,275,21,0,1,0,0,0
1325.8317,94,130,232,19,0,0,0,0,0
467.889743,30,29,411,15,0,1,0,0,0
753.524542,18,159,270,29,0,0,0,0,0
3125.75665,320,65,93,4,0,0,0,0,1
1021.17792,104,433,2989,26,0,0,0,0,0
2277.54531,290,316,433,109,0,0,0,0,0
1027.05861,141,29,27,4,0,0,0,1,0
612.3415524,29,75,73,6,0,0,0,1,0
640.9088204,49,16,67,1,0,0,0,1,0
383.749938,61,27,429,8,0,0,0,0,0
375.447796,6,25,261,0,0,0,0,1,0
1853.45163,271,644,785,456,0,0,0,0,1
1632.80026,422,298,758,145,0,0,0,0,1
419.7539721,0,30,55,20,0,0,0,1,0
381.0252811,8,37,94,12,0,0,0,1,0
111.6109464,0,15,229,0,0,0,0,1,0
1365.64517,77,66,43,28,0,0,0,1,0
1582.97491,320,456,524,151,0,0,0,0,0
1375.65445,82,161,462,71,0,0,0,1,0
2834.59614,405,936,3729,149,0,0,0,1,0
391.4720024,0,22,103,6,0,0,0,1,0
934.4303004,304,104,182,14,0,0,0,1,0
629.4820655,61,63,49,29,0,0,0,0,1
667.1255234,38,39,56,1,0,0,0,0,1
385.7722524,12,26,23,1,0,0,0,0,0
